date,close,open,high,low,change
2019-07-16,1179.63 ,1179.83 ,1182.26 ,1176.20 ,-0.07%
2019-07-15,1180.41 ,1177.68 ,1182.82 ,1177.33 ,0.26%
2019-07-12,1177.32 ,1175.16 ,1180.77 ,1174.20 ,0.18%
2019-07-11,1175.16 ,1176.57 ,1178.82 ,1170.63 ,-0.12%
2019-07-10,1176.57 ,1183.22 ,1183.46 ,1175.59 ,-0.56%
2019-07-09,1183.22 ,1180.92 ,1185.17 ,1178.64 ,0.19%
2019-07-08,1180.94 ,1175.48 ,1183.02 ,1175.00 ,0.50%
2019-07-05,1175.02 ,1167.77 ,1175.68 ,1167.14 ,0.57%
2019-07-04,1168.34 ,1170.72 ,1172.46 ,1167.30 ,-0.20%
2019-07-03,1170.72 ,1167.47 ,1173.43 ,1166.14 ,0.28%
2019-07-02,1167.47 ,1161.77 ,1169.23 ,1160.74 ,0.49%
2019-07-01,1161.77 ,1156.43 ,1165.52 ,1149.40 ,0.47%
2019-06-28,1156.38 ,1158.10 ,1159.43 ,1154.30 ,-0.06%
2019-06-27,1157.12 ,1154.56 ,1158.53 ,1152.62 ,0.21%
2019-06-26,1154.67 ,1156.17 ,1161.05 ,1152.40 ,-0.13%
2019-06-25,1156.17 ,1154.67 ,1157.64 ,1153.00 ,0.13%
2019-06-24,1154.67 ,1159.58 ,1162.00 ,1154.35 ,-0.39%
2019-06-21,1159.20 ,1159.52 ,1165.20 ,1157.01 ,-0.02%
2019-06-20,1159.42 ,1172.94 ,1174.30 ,1156.47 ,-1.11%
2019-06-19,1172.48 ,1174.87 ,1179.33 ,1171.55 ,-0.20%
2019-06-18,1174.87 ,1186.30 ,1188.49 ,1173.99 ,-0.98%
2019-06-17,1186.55 ,1186.89 ,1188.77 ,1185.00 ,-0.03%
2019-06-14,1186.88 ,1182.42 ,1187.86 ,1181.17 ,0.30%
2019-06-13,1183.32 ,1184.43 ,1188.08 ,1181.75 ,-0.02%
2019-06-12,1183.53 ,1178.38 ,1184.76 ,1177.98 ,0.37%
2019-06-11,1179.21 ,1184.02 ,1186.60 ,1178.50 ,-0.41%
2019-06-10,1184.02 ,1181.84 ,1188.51 ,1180.50 ,0.16%
2019-06-07,1182.07 ,1178.67 ,1187.35 ,1177.75 ,0.29%
2019-06-06,1178.67 ,1180.84 ,1182.78 ,1178.30 ,-0.18%
2019-06-05,1180.84 ,1178.11 ,1182.98 ,1173.90 ,0.22%
2019-06-04,1178.26 ,1179.42 ,1184.96 ,1177.22 ,-0.12%
2019-06-03,1179.64 ,1188.52 ,1191.52 ,1178.41 ,-0.77%
2019-05-31,1188.80 ,1189.73 ,1194.28 ,1188.47 ,-0.08%
2019-05-30,1189.73 ,1194.03 ,1194.65 ,1187.86 ,-0.36%
2019-05-29,1194.03 ,1188.94 ,1197.10 ,1187.67 ,0.43%
2019-05-28,1188.94 ,1184.54 ,1190.43 ,1183.29 ,0.37%
2019-05-27,1184.55 ,1186.20 ,1187.80 ,1182.65 ,-0.10%
2019-05-24,1185.77 ,1189.80 ,1192.15 ,1185.53 ,-0.34%
2019-05-23,1189.80 ,1191.66 ,1195.15 ,1188.30 ,-0.08%
2019-05-22,1190.78 ,1192.19 ,1197.01 ,1187.61 ,-0.17%
2019-05-21,1192.78 ,1195.24 ,1197.31 ,1191.90 ,-0.16%
2019-05-20,1194.73 ,1194.61 ,1195.33 ,1191.05 ,0.00%
2019-05-17,1194.73 ,1192.33 ,1196.86 ,1189.64 ,0.20%
2019-05-16,1192.33 ,1186.79 ,1194.00 ,1186.61 ,0.47%
2019-05-15,1186.79 ,1187.82 ,1192.45 ,1186.12 ,-0.09%
2019-05-14,1187.82 ,1188.78 ,1190.70 ,1185.05 ,-0.08%
2019-05-13,1188.78 ,1175.20 ,1191.10 ,1175.20 ,1.16%
2019-05-10,1175.20 ,1180.09 ,1183.98 ,1173.78 ,-0.41%
2019-05-09,1180.09 ,1173.11 ,1186.36 ,1171.30 ,0.60%
2019-05-08,1173.10 ,1173.22 ,1174.11 ,1167.90 ,0.06%
2019-05-07,1172.35 ,1168.28 ,1173.92 ,1165.74 ,0.27%
2019-05-06,1169.15 ,1164.34 ,1174.74 ,1164.33 ,0.41%
2019-05-03,1164.33 ,1166.81 ,1172.43 ,1163.96 ,-0.23%
2019-05-02,1167.06 ,1165.63 ,1168.34 ,1161.30 ,0.11%
2019-05-01,1165.73 ,1164.25 ,1166.59 ,1160.67 ,0.13%
2019-04-30,1164.25 ,1159.89 ,1169.78 ,1159.23 ,0.38%
2019-04-29,1159.88 ,1158.99 ,1161.88 ,1157.25 ,0.08%
2019-04-26,1158.90 ,1160.01 ,1163.00 ,1157.10 ,-0.10%
2019-04-25,1160.01 ,1156.05 ,1166.29 ,1156.05 ,0.34%
2019-04-24,1156.05 ,1143.06 ,1158.35 ,1142.88 ,1.13%
2019-04-23,1143.11 ,1140.99 ,1145.65 ,1139.46 ,0.19%
2019-04-22,1140.99 ,1135.92 ,1143.71 ,1135.49 ,0.39%
2019-04-19,1136.58 ,1137.61 ,1138.60 ,1135.92 ,-0.05%
2019-04-18,1137.11 ,1131.78 ,1138.51 ,1131.53 ,0.43%
2019-04-17,1132.28 ,1137.69 ,1138.60 ,1131.80 ,-0.48%
2019-04-16,1137.69 ,1135.10 ,1138.66 ,1134.25 ,0.23%
2019-04-15,1135.10 ,1134.72 ,1136.86 ,1132.20 ,0.03%
2019-04-12,1134.72 ,1141.96 ,1143.81 ,1132.70 ,-0.63%
2019-04-11,1141.96 ,1137.97 ,1142.74 ,1137.40 ,0.35%
2019-04-10,1137.97 ,1141.08 ,1144.81 ,1137.20 ,-0.27%
2019-04-09,1141.08 ,1143.06 ,1144.81 ,1139.08 ,-0.09%
2019-04-08,1142.11 ,1137.12 ,1146.24 ,1135.62 ,0.39%
